lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
mrem,PRON,501,0,106,65,146
osteocalcin,ADP,175,0,106,20,83
ipinagbilin,ADP,106,0,106,1,77
mexiletine,PRON,190,0,106,21,103
thinprep,DET,222,0,106,14,99
topfoto,PRT,164,0,105,7,96
burnout,PRT,322,0,105,44,120
dscp,ADP,209,0,104,10,93
thermooxidative,DET,154,0,104,26,92
flashover,ADP,179,0,104,45,92
haiku,DET,595,0,104,100,188
berghei,ADP,264,0,104,40,122
organosulfur,CONJ,184,0,103,27,87
tamsulosin,ADP,260,0,103,12,108
escitalopram,PRON,152,0,103,8,80
amelogenin,ADP,280,0,103,23,103
pendimethalin,ADP,617,0,102,67,209
relativelayout,ADP,172,0,102,4,88
barcode,DET,180,0,102,19,83
obliczem,PRON,101,0,101,1,93
adiponectin,ADP,206,0,101,8,101
triphenyl,DET,267,24,100,69,104
svojeho,ADP,100,0,100,0,70
tylosin,ADP,198,0,100,32,98
apoptosome,DET,210,0,100,10,101
ionosonde,ADP,178,0,100,30,91
morpheme,PRON,178,0,99,31,85
saveitas,ADP,311,0,99,7,121
anticrime,DET,220,0,99,34,78
aquaculture,DET,163,0,99,22,77
interspike,ADP,168,0,99,28,76
imovie,DET,189,0,98,11,91
webapp,PRT,312,0,98,11,134
esxi,PRON,162,0,98,4,87
peripherin,ADP,258,0,98,18,95
okeru,ADP,268,0,98,50,93
tigecycline,PRON,166,0,98,7,90
thymulin,ADP,213,0,97,17,90
rangefinder,ADP,304,1,97,50,97
clindamycin,ADP,162,0,97,23,95
neuromedin,ADP,358,0,96,26,116
aerodynamics,ADP,433,0,96,67,127
anyconnect,DET,276,0,96,7,137
alphafetoprotein,ADP,225,0,95,23,95
troponin,ADP,332,0,95,30,117
phospholipase,PRT,173,0,95,21,80
dynorphin,ADP,410,0,94,29,128
onreinen,PRT,94,0,94,0,64
yougov,PRON,289,0,93,10,111
thermospray,DET,602,0,93,47,154
absorber,ADP,334,17,93,67,116
plankton,PRT,289,21,93,68,113
visualise,ADP,616,18,93,88,138
alkylthio,DET,372,0,92,55,118
doxazosin,ADP,139,0,92,14,67
anlbz,DET,232,0,92,6,115
tensor,PRT,491,1,92,87,158
youmve,PRON,127,0,92,2,85
interplanar,ADP,161,0,92,39,78
anaphor,DET,139,0,92,17,71
autoshape,DET,348,0,92,16,147
urotensin,ADP,276,0,91,22,96
thymidine,PRON,495,0,91,49,117
wstawszy,ADP,91,0,91,1,75
ligase,ADP,162,0,90,25,69
antilabor,CONJ,194,1,90,39,73
