lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
moder,PRT,228,11,12,41,41
sicca,DET,228,3,3,34,36
tupra,DET,228,2,4,31,40
ommerce,ADP,228,16,33,29,39
benzidin,ADP,227,1,4,19,30
freshness,CONJ,227,99,100,93,94
offinite,ADP,227,0,5,19,31
ofground,ADP,226,6,6,18,18
artd,ADP,226,20,20,37,37
illus,PRT,226,0,2,7,11
qy,ADP,226,5,5,20,22
aeuro,DET,226,0,30,5,102
infinity,ADP,225,13,14,50,52
alguna,DET,225,10,10,24,24
ofliquor,ADP,224,5,5,16,16
likelv,ADP,224,20,23,37,39
verif,ADP,224,8,8,26,27
fth,ADP,224,18,19,27,27
offbefore,ADP,222,2,2,14,14
beleif,ADP,221,18,19,24,24
awav,DET,221,46,46,56,56
ahipmenta,DET,221,0,2,10,22
usfrom,ADP,221,4,4,12,13
oertain,ADP,221,90,90,86,87
dbout,PRT,221,1,26,36,48
nobill,DET,220,2,2,8,9
sx,ADP,220,7,8,24,24
overseen,ADP,220,2,3,24,26
additiona,DET,220,37,37,60,60
lnsp,ADP,219,0,2,7,24
anzi,DET,218,5,5,12,13
sweetclover,DET,218,0,2,7,17
wyif,ADP,218,0,1,8,13
includedin,ADP,218,22,23,46,47
yar,CONJ,217,7,11,31,39
wythyn,ADP,217,8,8,15,15
thats,ADP,217,24,24,44,45
anditor,CONJ,217,1,2,16,20
luorosulf,ADP,217,0,4,8,43
byfaith,ADP,216,4,4,12,12
becuse,ADP,216,22,22,40,40
ofknown,ADP,216,1,1,13,14
aura,DET,215,4,4,23,24
lrvington,ADP,215,3,10,16,24
alsoforeign,DET,215,0,90,5,103
artscan,ADP,214,0,74,7,84
oasi,PRT,214,0,12,13,34
raising,PRT,214,21,22,53,55
otbp,ADP,214,0,2,5,48
wherupon,ADP,213,56,56,69,69
oraminif,ADP,212,2,13,25,40
neohamatus,CONJ,212,0,46,9,57
thkess,ADP,212,0,2,11,27
bilis,ADP,211,5,5,12,12
zygomaticus,ADP,211,7,7,20,20
woucher,ADP,211,0,5,10,33
quella,DET,211,10,10,20,21
thrnugh,ADP,210,3,3,13,14
withing,ADP,210,18,18,44,44
wkr,ADP,210,1,29,29,51
assiguor,ADP,210,6,15,26,35
mayhem,PRON,209,3,5,21,26
senhor,ADP,209,6,6,23,23
herfor,ADP,208,6,6,16,16
ofitself,ADP,208,4,5,12,13
frof,ADP,207,9,10,21,21
itfrom,ADP,207,8,8,17,17
exten,CONJ,206,0,2,5,47
odborar,ADP,206,0,58,4,89
sombre,ADP,206,45,45,49,50
uuith,ADP,206,2,2,12,18
sixcharacter,ADP,206,0,2,8,29
froir,ADP,205,43,44,53,53
besrelih,ADP,205,0,109,7,116
tlae,DET,205,35,35,37,37
lmproper,ADP,204,0,3,15,27
alonga,DET,204,33,34,48,48
theirjoint,DET,204,8,9,16,17
longerthan,ADP,203,8,8,22,22
llhe,DET,203,15,17,32,33
yadernaya,DET,202,0,3,5,25
detailedto,PRT,202,0,0,4,27
angolanus,CONJ,201,0,3,6,12
dtr,ADP,189,66,66,66,67
ackson,ADP,176,64,71,62,65
whirh,ADP,155,63,63,68,69
thiee,DET,150,57,57,68,68
tfae,DET,144,54,55,58,59
argentea,DET,136,53,54,49,50
argenteus,ADP,147,53,56,55,57
befon,ADP,168,50,50,62,62
anyt,DET,151,50,50,54,54
ilton,ADP,160,50,51,45,46
whethor,ADP,162,48,49,50,51
arenarius,ADP,180,48,49,51,53
oover,ADP,119,47,50,44,46
mica,PRON,155,47,53,47,50
witlt,ADP,107,47,47,48,49
inoculation,ADP,143,45,46,49,50
nland,CONJ,185,45,46,55,56
wag,ADP,190,44,45,58,59
befbre,ADP,115,44,44,44,44
vnth,ADP,91,44,44,42,42
sd,ADP,151,41,44,49,50
lice,ADP,113,41,41,40,40
sur,PRT,140,40,41,53,53
iinder,ADP,156,40,42,48,48
undtr,ADP,101,40,40,41,41
omen,ADP,139,39,40,49,50
tlmt,DET,92,38,38,44,44
brevet,PRT,161,38,38,53,53
tfte,DET,64,37,37,35,35
vesper,ADP,84,37,37,31,32
agiinst,ADP,123,36,37,44,45
nre,ADP,96,36,36,38,39
agaimt,ADP,72,36,36,34,34
thoreof,ADP,117,35,39,38,39
nuda,DET,175,35,36,49,49
isee,PRON,107,35,35,34,34
initials,ADP,193,35,36,53,54
liecause,ADP,141,35,36,42,43
oblongus,ADP,79,35,38,31,34
thll,DET,187,35,35,41,42
sailor,ADP,188,34,36,43,44
tierra,DET,159,34,36,51,51
befog,ADP,136,34,34,36,37
iunior,ADP,182,34,38,42,44
ofver,ADP,131,33,34,37,38
innerer,ADP,109,33,43,32,41
administra,DET,164,33,33,45,46
thenee,PRON,125,32,33,36,37
wluch,DET,152,32,33,34,34
authorizin,ADP,179,32,33,44,45
antennata,DET,103,32,48,35,43
batten,PRT,161,31,33,46,48
times,CONJ,137,31,32,42,43
wbere,ADP,127,31,31,38,38
vater,ADP,178,31,32,37,38
alpina,ADP,93,31,32,31,32
whicii,DET,75,31,31,33,33
upoi,ADP,60,31,31,29,30
fimile,ADP,156,31,46,33,46
tlw,DET,111,31,31,33,33
perforce,ADP,76,30,32,29,31
onst,ADP,72,30,31,30,30
tlicir,DET,79,30,30,30,30
ately,ADP,94,30,30,30,30
oonsider,ADP,79,29,30,29,30
ovtr,ADP,109,29,30,31,31
fairer,CONJ,101,29,29,30,30
jpon,ADP,70,29,29,28,29
thtt,ADP,57,29,29,27,28
storekeeper,ADP,107,29,32,32,34
frbm,ADP,108,29,29,32,32
vour,PRT,105,28,29,32,33
inston,ADP,171,28,30,32,33
uty,ADP,120,28,29,38,39
aenea,DET,74,28,33,29,31
uvenile,ADP,131,28,28,40,41
antiopa,DET,100,28,35,28,36
ijth,ADP,117,28,32,31,34
ioe,ADP,90,27,28,28,28
bccn,ADP,153,27,29,38,39
iferous,ADP,99,27,29,32,33
amendin,ADP,120,27,27,33,34
agaiast,ADP,101,27,28,29,30
tln,ADP,119,27,27,35,35
overdo,ADP,173,27,28,40,42
thcso,DET,74,27,28,27,29
unuer,ADP,90,27,27,33,34
svith,ADP,104,27,27,29,29
thcrc,DET,134,27,28,35,37
wmcn,ADP,125,27,27,32,33
intc,PRT,77,26,28,26,27
thirtyfirst,DET,123,26,27,34,34
immortality,PRT,117,26,27,34,35
tltat,DET,62,26,27,28,28
tlif,ADP,51,26,26,24,25
tfieir,DET,65,26,26,28,28
nnv,DET,101,26,26,28,29
osnrn,ADP,186,26,30,41,43
thoughtfulness,PRON,191,25,26,35,36
uml,ADP,89,25,26,30,30
ornian,CONJ,87,25,38,28,37
frora,ADP,90,25,26,29,30
aflcr,ADP,77,25,25,27,27
alon,PRT,88,25,25,28,28
mortar,PRT,85,25,25,27,27
nava,DET,88,25,25,26,27
ayrshire,DET,103,25,27,25,27
frojn,ADP,55,25,25,26,26
whtn,ADP,64,25,25,28,28
auricula,DET,67,24,25,28,28
iior,ADP,103,24,25,30,30
tnough,ADP,66,24,24,27,28
ain,PRT,97,24,24,26,26
wlio,DET,64,24,24,28,28
wijh,ADP,63,24,24,25,25
albidus,ADP,127,24,25,33,34
dth,ADP,172,24,24,38,38
viii,CONJ,172,24,26,40,41
beinj,ADP,51,24,24,22,22
irregulariter,ADP,61,23,24,21,22
anguinus,CONJ,151,23,23,29,29
whilc,ADP,68,23,23,26,26
llke,ADP,86,23,23,29,29
oi,DET,88,23,25,23,24
wnether,ADP,84,23,23,27,28
apainst,ADP,71,23,23,25,25
twain,PRON,71,23,23,28,28
undsr,ADP,85,23,23,26,26
outl,ADP,103,22,24,30,31
asrainst,ADP,71,22,23,25,26
ovsr,ADP,60,22,22,24,24
ihis,PRON,81,22,22,26,26
lfor,ADP,75,22,22,26,26
ivision,ADP,58,22,28,21,25
thii,PRON,61,22,22,24,24
liave,ADP,50,22,22,22,22
amall,DET,118,22,22,34,34
vtith,ADP,56,22,22,24,24
