lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
tubercula,DET,58,19,19,23,23
tlie,PRT,42,19,19,20,20
befoi,ADP,64,19,19,21,22
tlmn,ADP,48,19,19,21,21
agajnst,ADP,40,19,19,19,20
troin,ADP,42,19,19,18,18
atcd,ADP,64,19,19,19,19
beinsr,ADP,63,18,19,20,21
goot,PRT,87,18,19,24,24
lioth,ADP,76,18,19,24,24
atabout,ADP,82,18,19,26,26
furloughs,ADP,80,17,19,20,23
anyono,DET,57,16,19,17,21
tflour,DET,90,0,19,3,35
lfthe,DET,735,18,18,65,66
bifor,ADP,311,17,18,29,30
iller,ADP,285,17,18,25,26
thairfore,ADP,248,18,18,30,31
withing,ADP,210,18,18,44,44
innew,ADP,166,18,18,24,24
nur,CONJ,142,18,18,27,27
andithe,DET,121,18,18,28,28
beinjr,ADP,45,18,18,18,18
forst,ADP,46,18,18,18,18
iefore,ADP,38,18,18,17,17
withqut,ADP,47,18,18,18,18
euer,DET,84,18,18,20,20
proin,ADP,39,18,18,18,18
sincc,ADP,72,18,18,20,21
whsn,ADP,49,18,18,18,19
warranto,PRT,89,18,18,22,23
anygiven,DET,68,18,18,18,19
andjthe,DET,54,18,18,20,21
fronj,ADP,38,18,18,18,19
linst,ADP,57,18,18,20,20
yland,CONJ,67,17,18,18,18
hrough,DET,76,17,18,26,26
xcith,ADP,40,17,18,17,18
anitoba,DET,48,12,18,12,18
llgand,CONJ,75,0,18,8,30
sie,ADP,676,17,17,43,44
aerea,DET,354,17,17,30,30
llhe,DET,203,15,17,32,33
ajor,CONJ,140,16,17,37,38
alwut,DET,136,16,17,24,26
ofhiv,ADP,132,0,17,5,35
wief,ADP,108,17,17,24,25
onlv,DET,64,17,17,20,21
advanta,DET,74,17,17,19,19
fcj,ADP,78,17,17,20,21
anythe,DET,52,17,17,18,18
becnuse,ADP,49,17,17,16,17
icithin,ADP,57,17,17,17,17
aftsr,ADP,48,17,17,17,17
includmg,ADP,93,17,17,24,24
tocomplete,PRT,74,17,17,18,18
therefoie,DET,52,17,17,21,21
tco,ADP,51,17,17,17,17
ofrthe,ADP,89,17,17,21,21
amougst,ADP,56,17,17,19,19
beleve,ADP,58,17,17,18,18
wjthin,ADP,35,17,17,15,16
ngninst,ADP,63,17,17,21,22
thetic,PRON,54,17,17,19,19
lcss,ADP,92,17,17,20,20
comof,ADP,42,17,17,18,18
himeelf,PRON,54,17,17,18,18
witll,ADP,47,16,17,18,18
thereot,DET,61,16,17,19,19
drr,ADP,90,16,17,17,17
thit,ADP,47,16,17,17,17
ighth,ADP,42,16,17,15,16
awayl,DET,55,16,17,17,19
fome,ADP,199,16,16,27,27
thaw,DET,170,16,16,43,43
thegrowth,DET,118,15,16,25,25
metabisulf,PRON,107,0,16,8,31
uie,PRON,97,16,16,20,20
lightin,ADP,50,16,16,17,17
lajor,ADP,66,16,16,22,22
ur,PRON,56,16,16,20,21
witli,PRT,63,16,16,19,20
tlteir,DET,47,16,16,20,20
beeo,ADP,39,16,16,18,18
transversa,DET,57,16,16,17,17
agairst,ADP,53,16,16,20,20
adver,ADP,47,16,16,16,16
oftht,ADP,68,16,16,19,19
somt,DET,37,16,16,16,16
atfect,ADP,56,16,16,17,17
dcl,ADP,65,16,16,18,18
singlo,ADP,43,16,16,15,15
azimuth,PRT,56,16,16,18,19
fhrough,ADP,44,16,16,17,17
wiiat,ADP,29,16,16,15,15
amaranthus,ADP,46,16,16,17,17
intd,ADP,81,16,16,19,20
lfith,ADP,63,16,16,19,19
iinst,ADP,44,16,16,19,19
